IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,205,19.06
47.237.0.31,2086,2086,false,SIN,Asia Pacific,Singapore,190,18.14
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,197,17.13
47.236.169.141,8080,8080,false,SIN,Asia Pacific,Singapore,207,16.58
8.219.40.37,2095,2095,false,SIN,Asia Pacific,Singapore,56,16.25
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,206,15.57
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,200,15.26
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,198,14.90
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,211,14.27
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,198,13.76
47.236.144.208,80,80,false,SIN,Asia Pacific,Singapore,193,13.23
47.236.123.133,2095,2095,false,SIN,Asia Pacific,Singapore,210,13.02
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,213,12.97
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,200,12.45
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,193,12.34
8.219.237.250,2087,2087,true,SIN,Asia Pacific,Singapore,191,12.15
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,209,11.79
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,198,11.59
47.236.189.92,2052,2052,false,SIN,Asia Pacific,Singapore,190,11.53
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,204,11.50
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,197,11.40
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,196,11.32
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,195,11.24
47.236.168.17,80,80,false,SIN,Asia Pacific,Singapore,218,11.21
8.219.6.150,2083,2083,true,SIN,Asia Pacific,Singapore,214,11.17
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,213,11.14
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,192,11.12
8.222.169.222,8880,8880,false,SIN,Asia Pacific,Singapore,201,10.90
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,215,10.89
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,207,10.87
8.219.201.245,2096,2096,true,SIN,Asia Pacific,Singapore,195,10.82
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,217,10.78
47.236.172.71,8880,8880,false,SIN,Asia Pacific,Singapore,208,10.64
47.237.14.220,8080,8080,false,SIN,Asia Pacific,Singapore,198,10.62
47.236.144.196,2095,2095,false,SIN,Asia Pacific,Singapore,211,10.54
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,196,10.51
47.237.100.206,2095,2095,false,SIN,Asia Pacific,Singapore,214,10.37
8.219.6.150,2087,2087,true,SIN,Asia Pacific,Singapore,215,10.36
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,210,10.31
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,192,10.26
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,199,10.25
8.219.83.71,8880,8880,false,SIN,Asia Pacific,Singapore,218,10.17
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,191,10.16
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,190,10.13
8.219.40.37,2083,2083,true,SIN,Asia Pacific,Singapore,50,10.08
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,209,9.94
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,210,9.90
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,202,9.84
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,205,9.75
8.219.83.71,2052,2052,false,SIN,Asia Pacific,Singapore,187,9.71
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,213,9.68
47.236.17.193,2052,2052,false,SIN,Asia Pacific,Singapore,196,9.67
47.237.121.38,8880,8880,false,SIN,Asia Pacific,Singapore,215,9.16
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,198,9.14
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,194,9.11
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,220,9.07
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,214,8.76
47.236.174.206,8080,8080,false,SIN,Asia Pacific,Singapore,190,8.76
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,194,8.69
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,219,8.66
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,196,8.62
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,198,8.44
47.236.123.133,2052,2052,false,SIN,Asia Pacific,Singapore,204,8.35
47.236.121.23,2052,2052,false,SIN,Asia Pacific,Singapore,208,8.32
47.236.170.225,8080,8080,false,SIN,Asia Pacific,Singapore,200,8.32
47.236.169.164,2052,2052,false,SIN,Asia Pacific,Singapore,197,8.28
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,213,8.26
47.236.172.71,8080,8080,false,SIN,Asia Pacific,Singapore,199,8.23
47.236.5.223,2082,2082,false,SIN,Asia Pacific,Singapore,193,8.22
8.219.6.150,8080,8080,false,SIN,Asia Pacific,Singapore,198,8.20
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,191,8.16
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,196,7.89
8.219.147.58,2082,2082,false,SIN,Asia Pacific,Singapore,195,7.64
47.236.102.102,2082,2082,false,SIN,Asia Pacific,Singapore,215,7.63
8.219.147.58,2096,2096,true,SIN,Asia Pacific,Singapore,185,7.57
47.236.104.11,8880,8880,false,SIN,Asia Pacific,Singapore,215,7.48
8.219.117.198,8880,8880,false,SIN,Asia Pacific,Singapore,200,7.45
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,190,7.30
8.219.147.58,2052,2052,false,SIN,Asia Pacific,Singapore,201,7.29
8.222.169.222,2086,2086,false,SIN,Asia Pacific,Singapore,193,7.13
47.236.172.95,2095,2095,false,SIN,Asia Pacific,Singapore,198,7.11
8.219.117.198,2053,2053,true,SIN,Asia Pacific,Singapore,201,7.07
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,199,7.07
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,198,7.03
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,192,7.01
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,210,6.98
8.219.201.245,2086,2086,false,SIN,Asia Pacific,Singapore,219,6.97
47.237.121.38,8080,8080,false,SIN,Asia Pacific,Singapore,195,6.92
47.236.10.182,2082,2082,false,SIN,Asia Pacific,Singapore,218,6.66
8.222.164.209,8880,8880,false,SIN,Asia Pacific,Singapore,201,6.51
47.237.84.173,2087,2087,true,SIN,Asia Pacific,Singapore,202,6.46
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,210,6.44
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,215,6.33
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,197,6.31
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,189,6.27
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,189,6.15
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,195,6.13
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,198,6.11
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,206,6.04
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,210,5.99
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,208,5.93
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,203,5.83
47.236.253.41,80,80,false,SIN,Asia Pacific,Singapore,200,5.83
8.222.191.138,2053,2053,true,SIN,Asia Pacific,Singapore,217,5.78
47.236.130.95,80,80,false,SIN,Asia Pacific,Singapore,217,5.75
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,196,5.73
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,192,5.55
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,214,5.52
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,197,5.49
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,201,5.40
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,205,5.39
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,215,5.34
47.237.11.182,2053,2053,true,SIN,Asia Pacific,Singapore,211,5.33
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,195,5.27
8.219.147.58,80,80,false,SIN,Asia Pacific,Singapore,186,5.25
47.236.232.148,2086,2086,false,SIN,Asia Pacific,Singapore,199,5.22
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,202,5.22
8.222.191.138,2052,2052,false,SIN,Asia Pacific,Singapore,193,5.22
8.219.117.198,8080,8080,false,SIN,Asia Pacific,Singapore,209,5.08
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,191,5.04
8.222.164.209,8080,8080,false,SIN,Asia Pacific,Singapore,191,4.97
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,210,4.89
47.237.86.185,8080,8080,false,SIN,Asia Pacific,Singapore,213,4.82
47.236.75.113,80,80,false,SIN,Asia Pacific,Singapore,206,4.66
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,214,4.55
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,189,4.52
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,215,4.45
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,209,4.39
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,202,4.30
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,211,4.23
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,218,4.20
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,188,4.15
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,215,4.02
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,217,3.94
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,24,3.93
47.237.84.173,2086,2086,false,SIN,Asia Pacific,Singapore,211,3.87
47.236.169.141,2052,2052,false,SIN,Asia Pacific,Singapore,209,3.87
8.222.193.65,2086,2086,false,SIN,Asia Pacific,Singapore,190,3.80
8.219.201.245,2052,2052,false,SIN,Asia Pacific,Singapore,196,3.70
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,194,3.65
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,213,3.53
8.219.117.198,2083,2083,true,SIN,Asia Pacific,Singapore,194,3.48
8.222.169.222,2096,2096,true,SIN,Asia Pacific,Singapore,210,3.45
8.219.201.245,2082,2082,false,SIN,Asia Pacific,Singapore,213,3.43
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,215,3.40
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,210,3.31
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,196,3.30
47.236.144.196,2086,2086,false,SIN,Asia Pacific,Singapore,210,3.29
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,213,3.21
47.236.150.13,2086,2086,false,SIN,Asia Pacific,Singapore,190,3.19
47.236.75.163,8443,443,true,SIN,Asia Pacific,Singapore,206,3.18
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,212,3.17
8.219.117.198,80,80,false,SIN,Asia Pacific,Singapore,207,3.08
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,218,3.08
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,209,3.08
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,205,3.07
8.219.147.58,2095,2095,false,SIN,Asia Pacific,Singapore,198,3.04
8.222.128.32,443,443,true,SIN,Asia Pacific,Singapore,192,3.04
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,199,3.04
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,186,3.03
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,189,3.03
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,193,3.03
8.219.237.250,80,80,false,SIN,Asia Pacific,Singapore,204,3.00
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,206,2.95
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,216,2.94
8.222.164.209,2086,2086,false,SIN,Asia Pacific,Singapore,200,2.91
47.236.170.225,8880,8880,false,SIN,Asia Pacific,Singapore,190,2.89
47.236.172.95,8880,8880,false,SIN,Asia Pacific,Singapore,206,2.71
8.222.160.176,80,80,false,SIN,Asia Pacific,Singapore,194,2.70
8.219.237.250,2095,2095,false,SIN,Asia Pacific,Singapore,215,2.68
47.236.102.102,2086,2086,false,SIN,Asia Pacific,Singapore,200,2.66
47.237.94.140,8880,8880,false,SIN,Asia Pacific,Singapore,196,2.64
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,195,2.62
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,209,2.61
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,217,2.50
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,199,2.47
47.236.10.100,2052,2052,false,SIN,Asia Pacific,Singapore,213,2.46
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,217,2.46
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,193,2.43
8.219.237.250,2082,2082,false,SIN,Asia Pacific,Singapore,198,2.42
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,199,2.37
8.222.169.222,8443,8443,true,SIN,Asia Pacific,Singapore,213,2.36
47.236.169.164,80,80,false,SIN,Asia Pacific,Singapore,219,2.36
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,213,2.33
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,215,2.32
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,199,2.29
47.236.150.13,2095,2095,false,SIN,Asia Pacific,Singapore,214,2.22
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,208,2.20
47.236.232.148,8080,8080,false,SIN,Asia Pacific,Singapore,191,2.20
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,197,2.19
47.236.97.90,2052,2052,false,SIN,Asia Pacific,Singapore,195,2.16
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,198,2.15
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,210,2.04
47.236.166.131,2095,2095,false,SIN,Asia Pacific,Singapore,215,2.04
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,203,2.03
8.219.83.71,2095,2095,false,SIN,Asia Pacific,Singapore,209,2.03
8.219.124.227,2095,2095,false,SIN,Asia Pacific,Singapore,202,1.99
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,215,1.97
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,200,1.95
8.219.117.198,8443,8443,true,SIN,Asia Pacific,Singapore,190,1.91
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,195,1.86
47.237.10.1,2095,2095,false,SIN,Asia Pacific,Singapore,208,1.84
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,191,1.82
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,195,1.81
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,187,1.76
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,191,1.67
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,193,1.67
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,192,1.64
8.219.237.250,2086,2086,false,SIN,Asia Pacific,Singapore,203,1.64
47.237.92.26,8880,8880,false,SIN,Asia Pacific,Singapore,218,1.63
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,187,1.61
8.222.204.128,443,443,true,SIN,Asia Pacific,Singapore,208,1.61
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,194,1.58
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,191,1.54
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,186,1.48
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,203,1.48
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,206,1.46
47.236.9.152,2052,2052,false,SIN,Asia Pacific,Singapore,209,1.43
47.236.167.231,2095,2095,false,SIN,Asia Pacific,Singapore,190,1.40
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,203,1.40
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,196,1.19
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,209,1.17
8.219.147.58,8880,8880,false,SIN,Asia Pacific,Singapore,214,1.16
47.236.10.182,2052,2052,false,SIN,Asia Pacific,Singapore,203,1.16
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,221,1.14
34.150.29.153,443,80,false,SIN,Asia Pacific,Singapore,11,1.13
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,198,1.12
8.222.191.138,2086,2086,false,SIN,Asia Pacific,Singapore,214,1.03
8.212.41.98,80,80,false,SIN,Asia Pacific,Singapore,11,1.03
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,217,1.00
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,217,0.98
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,196,0.91
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,208,0.89
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,215,0.88
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,214,0.82
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,204,0.82
47.238.52.240,80,443,true,SIN,Asia Pacific,Singapore,10,0.74
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,200,0.69
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,16,0.63
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,197,0.28
47.237.3.221,80,2053,true,SIN,Asia Pacific,Singapore,195,0.15
23.225.64.72,25017,443,true,SIN,Asia Pacific,Singapore,73,0.02
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,217,0.00
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,192,0.00
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,192,0.00
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,214,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,61,0.00
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,194,0.00
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,214,0.00
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,189,0.00
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,191,0.00
47.236.149.107,8080,8080,false,SIN,Asia Pacific,Singapore,198,0.00
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,205,0.00
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,195,0.00
8.219.201.245,80,80,false,SIN,Asia Pacific,Singapore,215,0.00
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,195,0.00
43.156.27.249,443,443,true,SIN,Asia Pacific,Singapore,58,0.00
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,209,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,48,0.00
120.220.19.103,2082,2082,false,SIN,Asia Pacific,Singapore,45,0.00
